Designator,Mid X,Mid Y,Rotation,Layer
C1,171.374,-85.3685,90.0,top
C10,175.1575,-98.095,0.0,top
C2,166.7004,-91.6688,180.0,top
C3,114.5796,-83.684621,270.0,top
C4,166.167,-97.587,180.0,top
C5,113.65,-93.8775,270.0,top
C6,169.596,-96.4948,270.0,top
C7,113.65,-97.46,90.0,top
C8,125.781,-87.046,180.0,top
C9,117.272,-95.281,90.0,top
D1,182.296,-92.888,270.0,bottom
D2,184.582,-92.888,270.0,bottom
F1,107.62,-82.22,0.0,top
J1,160.198,-86.157,270.0,bottom
J2,103.0,-90.0,270.0,top
J3,151.435,-93.015,0.0,bottom
J4,159.675,-92.38,180.0,bottom
J5,188.0,-89.62,0.0,top
R1,168.1755,-85.903,0.0,top
R10,124.8275,-98.095,0.0,top
R11,124.8275,-94.285,180.0,top
R12,182.296,-96.952,270.0,bottom
R13,184.582,-96.952,270.0,bottom
R2,168.199,-84.252,0.0,top
R3,111.43,-88.57,0.0,top
R4,111.43,-90.475,180.0,top
R5,169.596,-88.4665,270.0,top
R6,110.795,-92.38,180.0,top
R7,155.626,-97.841,0.0,bottom
R8,124.8275,-92.38,0.0,top
R9,124.8275,-96.19,0.0,top
SW1,167.31,-82.22,180.0,bottom
SW2,157.785,-82.22,180.0,bottom
SW3,120.32,-84.76,90.0,bottom
SW4,177.014,-83.998,0.0,bottom
U1,110.795,-96.385,90.0,top
U2,138.355,-93.0,0.0,top
U3,175.0,-93.25,270.0,top
Y1,167.945,-94.605,270.0,top
